Middle Footscray Station (Footscray),-,-,5:20,5:38,-,-,5:56,-,-,6:14,-,6:32,-,-,6:50,-,-,6:59,-,-,7:08,-,7:17,-,-,|,-,7:32,-,|,-,7:44,-,|,-,7:56,-,|,-,8:08,-,-,|,8:21,-,-,|,-,8:33,-,|,-,-,8:48,-,8:57,-,-,9:06,-,9:14,-,-,-,9:34,-,-,9:52,-,-,10:12,-,-,10:32,-,-,10:52,-,-,11:12,-,-,11:32,-,-,11:52,-,-,12:12,-,-,12:32,-,-,12:52,-,-,13:12,-,-,13:32,-,-,13:52,-,-,14:12,-,-,14:32,-,-,14:52,-,-,15:12,-,-,15:32,-,-,15:52,-,-,16:12,-,-,16:32,-,-,16:49,-,16:52,-,-,-,17:12,-,-,-,17:32,-,-,-,-,17:52,-,-,17:59,-,-,18:12,-,-,-,18:32,-,18:41,-,-,18:52,-,-,-,19:12,-,-,19:32,-,-,20:02,-,-,20:32,-,21:02,-,-,21:32,-,22:02,-,-,22:37,-,23:02,-,23:32,-,0:02
Footscray Station (Footscray),5:16,5:21,5:22,5:40,5:41,5:51,5:58,6:02,6:13,6:16,6:24,6:34,6:35,6:46,6:53,6:56,6:59,7:02,7:06,7:09,7:11,7:18,7:20,7:21,7:28,7:28,7:31,7:35,7:40,7:40,7:43,7:47,7:50,7:52,7:53,7:59,8:02,8:04,8:04,8:11,8:12,8:15,8:16,8:23,8:24,8:27,8:28,8:34,8:35,8:37,8:40,8:46,8:49,8:50,8:55,8:59,8:59,9:08,9:08,9:10,9:17,9:17,9:25,9:35,9:36,9:41,9:47,9:54,9:57,10:07,10:14,10:17,10:27,10:34,10:37,10:47,10:54,10:57,11:07,11:14,11:17,11:27,11:34,11:37,11:47,11:54,11:57,12:07,12:14,12:17,12:27,12:34,12:37,12:47,12:54,12:57,13:07,13:14,13:17,13:27,13:34,13:37,13:47,13:54,13:57,14:07,14:14,14:17,14:27,14:34,14:37,14:47,14:54,14:57,15:07,15:14,15:17,15:27,15:34,15:37,15:47,15:54,15:57,16:07,16:14,16:17,16:26,16:34,16:35,16:45,16:51,16:53,16:54,16:58,17:08,17:13,17:14,17:18,17:26,17:32,17:34,17:36,17:39,17:45,17:48,17:54,17:55,17:59,18:01,18:07,18:10,18:14,18:15,18:21,18:29,18:34,18:37,18:43,18:44,18:51,18:54,18:59,19:04,19:09,19:14,19:20,19:32,19:34,19:42,19:49,20:04,20:09,20:29,20:34,20:49,21:04,21:09,21:32,21:34,21:51,22:04,22:11,22:30,22:39,22:58,23:04,23:28,23:34,23:58,0:04
South Kensington Station (Kensington),5:19,5:24,|,|,5:44,5:54,|,6:05,6:16,|,6:27,|,6:38,6:49,|,|,7:02,|,|,7:12,|,|,|,7:24,|,|,7:34,|,|,|,7:46,|,|,|,7:56,|,|,|,8:07,|,|,8:18,|,|,|,8:30,|,|,|,8:40,|,|,8:52,|,|,|,9:02,|,|,9:13,|,|,9:28,|,|,9:44,9:50,|,10:00,10:10,|,10:20,10:30,|,10:40,10:50,|,11:00,11:10,|,11:20,11:30,|,11:40,11:50,|,12:00,12:10,|,12:20,12:30,|,12:40,12:50,|,13:00,13:10,|,13:20,13:30,|,13:40,13:50,|,14:00,14:10,|,14:20,14:30,|,14:40,14:50,|,15:00,15:10,|,15:20,15:30,|,15:40,15:50,|,16:00,16:10,|,16:20,16:29,|,16:38,16:48,|,|,|,17:01,17:11,|,|,17:21,17:29,17:35,|,17:39,17:42,17:48,17:51,|,17:58,|,|,18:10,|,|,18:18,|,18:32,|,18:40,|,|,18:54,|,19:02,|,|,|,19:23,19:35,|,|,19:52,|,20:12,20:32,|,20:52,|,21:12,21:35,|,21:54,|,22:14,22:33,|,23:01,|,23:31,|,0:01,|
North Melbourne Station (West Melbourne),5:22,5:27,5:27,5:45,5:47,5:57,6:03,6:08,6:19,6:21,6:30,6:39,6:41,6:52,6:58,7:02,7:05,7:07,7:11,7:15,7:16,7:23,7:25,7:27,7:33,7:33,7:37,7:40,7:45,7:45,7:49,7:52,7:55,7:57,8:00,8:04,8:07,8:09,8:10,8:16,8:17,8:21,8:21,8:28,8:29,8:34,8:33,8:39,8:40,8:43,8:45,8:51,8:55,8:55,9:00,9:04,9:05,9:13,9:13,9:16,9:22,9:23,9:31,9:40,9:41,9:47,9:53,9:59,10:03,10:13,10:19,10:23,10:33,10:39,10:43,10:53,10:59,11:03,11:13,11:19,11:23,11:33,11:39,11:43,11:53,11:59,12:03,12:13,12:19,12:23,12:33,12:39,12:43,12:53,12:59,13:03,13:13,13:19,13:23,13:33,13:39,13:43,13:53,13:59,14:03,14:13,14:19,14:23,14:33,14:39,14:43,14:53,14:59,15:03,15:13,15:19,15:23,15:33,15:39,15:43,15:53,15:59,16:03,16:13,16:19,16:23,16:32,16:39,16:41,16:51,16:56,16:59,16:59,17:04,17:14,17:19,17:19,17:24,17:32,17:38,17:39,17:42,17:45,17:51,17:54,17:59,18:01,18:05,18:08,18:13,18:16,18:19,18:21,18:27,18:35,18:39,18:43,18:48,18:50,18:57,18:59,19:05,19:10,19:15,19:19,19:26,19:38,19:39,19:48,19:55,20:09,20:15,20:35,20:39,20:55,21:09,21:15,21:38,21:39,21:57,22:09,22:17,22:36,22:44,23:04,23:09,23:34,23:39,0:04,0:09
Flagstaff Station (Melbourne City), , ,5:29,5:47, , ,6:05, , ,6:23, ,6:41, , ,7:01, , ,7:10, , ,7:19, ,7:28, , ,7:36, ,7:43, ,7:48, ,7:55, ,8:00, ,8:07, ,8:12, ,8:19, , ,8:24,8:31, , ,8:36, ,8:43, ,8:48, , ,8:58, ,9:07, , ,9:16, ,9:25, , , ,9:44, , ,10:02, , ,10:22, , ,10:42, , ,11:02, , ,11:22, , ,11:42, , ,12:02, , ,12:22, , ,12:42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Melbourne Central Station (Melbourne City), , ,5:31,5:49, , ,6:07, , ,6:25, ,6:43, , ,7:03, , ,7:12, , ,7:21, ,7:30, , ,7:38, ,7:45, ,7:50, ,7:57, ,8:02, ,8:09, ,8:14, ,8:21, , ,8:26,8:33, , ,8:38, ,8:45, ,8:50, , ,9:00, ,9:09, , ,9:18, ,9:27, , , ,9:46, , ,10:04, , ,10:24, , ,10:44, , ,11:04, , ,11:24, , ,11:44, , ,12:04, , ,12:24, , ,12:44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Parliament Station (Melbourne City), , ,5:33,5:51, , ,6:09, , ,6:27, ,6:45, , ,7:05, , ,7:14, , ,7:23, ,7:32, , ,7:40, ,7:47, ,7:52, ,7:59, ,8:04, ,8:11, ,8:16, ,8:23, , ,8:28,8:35, , ,8:40, ,8:47, ,8:52, , ,9:02, ,9:11, , ,9:20, ,9:29, , , ,9:48, , ,10:06, , ,10:26, , ,10:46, , ,11:06, , ,11:26, , ,11:46, , ,12:06, , ,12:26, , ,12:46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Southern Cross Station (Melbourne City),5:25,5:30, , ,5:50,6:00, ,6:11,6:22, ,6:33, ,6:44,6:55, ,7:06,7:08, ,7:14,7:18, ,7:26, ,7:30,7:36, ,7:40, ,7:48, ,7:52, ,7:58, ,8:03, ,8:10, ,8:13, ,8:20,8:24, , ,8:32,8:37, ,8:42, ,8:46, ,8:54,8:58, ,9:03, ,9:09,9:16, ,9:19, ,9:26,9:34,9:43, ,9:50,9:56, ,10:06,10:16, ,10:26,10:36, ,10:46,10:56, ,11:06,11:16, ,11:26,11:36, ,11:46,11:56, ,12:06,12:16, ,12:26,12:36, ,12:46,12:56,13:03,13:06,13:16,13:23,13:26,13:36,13:43,13:46,13:56,14:03,14:06,14:16,14:23,14:26,14:36,14:43,14:46,14:56,15:03,15:06,15:16,15:22,15:26,15:36,15:42,15:46,15:56,16:02,16:06,16:16,16:22,16:26,16:35,16:44,16:44,16:54,17:01,17:02,17:04,17:07,17:17,17:22,17:24,17:28,17:35,17:41,17:44,17:45,17:48,17:54,17:57,18:02,18:04,18:08,18:13,18:16,18:19,18:22,18:24,18:30,18:38,18:42,18:46,18:53,18:53,19:00,19:02,19:08,19:13,19:18,19:22,19:29,19:41,19:42,19:51,19:58,20:12,20:18,20:38,20:42,20:58,21:12,21:18,21:41,21:42,22:00,22:12,22:20,22:39,22:47,23:07,23:12,23:37,23:42,0:07,0:12
Flinders Street Station (Melbourne City),5:29,5:34,5:36,5:54,5:54,6:04,6:12,6:15,6:26,6:30,6:37,6:48,6:48,6:59,7:08,7:10,7:13,7:17,7:18,7:22,7:26,7:30,7:35,7:34,7:41,7:44,7:44,7:50,7:52,7:56,7:56,8:02,8:02,8:08,8:07,8:14,8:14,8:20,8:18,8:26,8:24,8:28,8:32,8:38,8:36,8:41,8:44,8:46,8:50,8:50,8:56,8:58,9:02,9:05,9:07,9:14,9:13,9:20,9:24,9:23,9:32,9:30,9:38,9:47,9:51,9:54,10:00,10:09,10:10,10:20,10:29,10:30,10:40,10:49,10:50,11:00,11:09,11:10,11:20,11:29,11:30,11:40,11:49,11:50,12:00,12:09,12:10,12:20,12:29,12:30,12:40,12:49,12:50,13:00,13:07,13:10,13:20,13:27,13:30,13:40,13:47,13:50,14:00,14:07,14:10,14:20,14:27,14:30,14:40,14:47,14:50,15:00,15:07,15:10,15:20,15:27,15:30,15:40,15:47,15:50,16:00,16:07,16:10,16:20,16:27,16:30,16:39,16:50,16:48,16:58,17:07,17:07,17:10,17:11,17:21,17:27,17:29,17:33,17:40,17:47,17:50,17:49,17:52,17:58,18:01,18:07,18:08,18:14,18:19,18:20,18:23,18:27,18:28,18:34,18:42,18:46,18:50,18:58,18:57,19:04,19:06,19:12,19:18,19:22,19:26,19:33,19:45,19:46,19:55,20:02,20:16,20:22,20:42,20:46,21:02,21:16,21:22,21:45,21:46,22:04,22:16,22:24,22:43,22:51,23:11,23:16,23:41,23:46,0:11,0:16
Flinders Street Station (Melbourne City),-,-,5:42,5:57,-,-,6:15,-,-,6:33,-,6:51,-,-,7:08,-,-,7:20,-,-,7:26,-,7:35,-,-,7:44,-,-,-,7:56,-,8:02,-,8:08,-,8:14,-,8:20,-,-,-,-,8:32,8:38,-,-,-,-,8:50,-,8:56,-,-,-,-,9:14,-,-,9:24,-,9:32,-,-,-,-,-,-,10:12,-,-,10:32,-,-,10:52,-,-,11:12,-,-,11:32,-,-,11:52,-,-,12:12,-,-,12:32,-,-,12:52,-,-,13:09,-,-,13:29,-,-,13:49,-,-,14:09,-,-,14:29,-,-,14:49,-,-,15:09,-,-,15:27,-,-,15:47,-,-,16:07,-,-,16:27,-,-,16:50,-,-,17:07,-,17:10,-,-,-,-,-,-,-,17:50,-,-,-,-,18:07,-,-,18:19,-,-,18:27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20:58,-,21:28,-,-,-,-,22:28,-,-,-,-,-,-,23:58,-,0:28
Parliament Station (Melbourne City),-,-, , ,-,-, ,-,-, ,-, ,-,-, ,-,-, ,-,-, ,-, ,-,-, ,-,-,-, ,-, ,-, ,-, ,-, ,-,-,-,-, , ,-,-,-,-, ,-, ,-,-,-,-, ,-,-, ,-, ,-,-,-,-,-,-, ,-,-, ,-,-, ,-,-, ,-,-, ,-,-, ,-,-, ,-,-, ,-,-, ,-,-,13:11,-,-,13:31,-,-,13:51,-,-,14:11,-,-,14:31,-,-,14:51,-,-,15:11,-,-,15:29,-,-,15:49,-,-,16:09,-,-,16:29,-,-,16:52,-,-,17:09,-,17:12,-,-,-,-,-,-,-,17:52,-,-,-,-,18:09,-,-,18:21,-,-,18:29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21:00,-,21:30,-,-,-,-,22:30,-,-,-,-,-,-,0:00,-,0:30
Melbourne Central Station (Melbourne City),-,-, , ,-,-, ,-,-, ,-, ,-,-, ,-,-, ,-,-, ,-, ,-,-, ,-,-,-, ,-, ,-, ,-, ,-, ,-,-,-,-, , ,-,-,-,-, ,-, ,-,-,-,-, ,-,-, ,-, ,-,-,-,-,-,-, ,-,-, ,-,-, ,-,-, ,-,-, ,-,-, ,-,-, ,-,-, ,-,-, ,-,-,13:13,-,-,13:33,-,-,13:53,-,-,14:13,-,-,14:33,-,-,14:53,-,-,15:13,-,-,15:31,-,-,15:51,-,-,16:11,-,-,16:31,-,-,16:54,-,-,17:11,-,17:14,-,-,-,-,-,-,-,17:54,-,-,-,-,18:11,-,-,18:23,-,-,18:31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21:02,-,21:32,-,-,-,-,22:32,-,-,-,-,-,-,0:02,-,0:32
Flagstaff Station (Melbourne City),-,-, , ,-,-, ,-,-, ,-, ,-,-, ,-,-, ,-,-, ,-, ,-,-, ,-,-,-, ,-, ,-, ,-, ,-, ,-,-,-,-, , ,-,-,-,-, ,-, ,-,-,-,-, ,-,-, ,-, ,-,-,-,-,-,-, ,-,-, ,-,-, ,-,-, ,-,-, ,-,-, ,-,-, ,-,-, ,-,-, ,-,-,13:14,-,-,13:34,-,-,13:54,-,-,14:14,-,-,14:34,-,-,14:54,-,-,15:14,-,-,15:32,-,-,15:52,-,-,16:12,-,-,16:32,-,-,16:55,-,-,17:12,-,17:15,-,-,-,-,-,-,-,17:55,-,-,-,-,18:12,-,-,18:24,-,-,18:32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21:03,-,21:33,-,-,-,-,22:33,-,-,-,-,-,-,0:03,-,0:33
Southern Cross Station (Melbourne City),-,-,5:44,5:59,-,-,6:17,-,-,6:35,-,6:53,-,-,7:11,-,-,7:23,-,-,7:29,-,7:38,-,-,7:47,-,-,-,7:59,-,8:05,-,8:11,-,8:17,-,8:23,-,-,-,-,8:35,8:41,-,-,-,-,8:53,-,8:59,-,-,-,-,9:17,-,-,9:27,-,9:35,-,-,-,-,-,-,10:14,-,-,10:34,-,-,10:54,-,-,11:14,-,-,11:34,-,-,11:54,-,-,12:14,-,-,12:34,-,-,12:54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
