Malvern Station (Malvern),5:09,5:22,5:39,5:52,6:09,6:22,6:39,6:52,7:02,7:12,7:22,7:32,7:42,7:52,8:02,8:12,8:22,8:32,8:42,8:52,9:02,9:12,9:22,9:32,9:42,9:52,-,10:02,10:12,10:22,10:32,10:42,10:52,|,11:02,|,11:12,|,11:22,|,11:32,|,11:42,|,11:52,|,12:02,|,12:12,|,12:22,|,12:32,|,12:42,|,12:52,|,13:02,|,13:12,|,13:22,|,13:32,|,13:42,|,13:52,|,14:02,|,14:12,|,14:22,|,14:32,|,14:42,|,14:52,|,15:02,|,15:12,|,15:22,|,15:32,|,15:42,|,15:52,|,16:02,|,16:12,|,16:22,|,16:32,|,16:42,|,16:52,|,17:02,|,17:12,|,17:22,|,17:32,|,17:42,|,17:52,|,18:02,|,18:12,|,18:22,|,18:32,|,18:42,|,18:52,|,19:02,|,19:12,19:22,|,19:39,19:54,20:09,20:24,20:39,20:54,21:09,21:24,21:39,21:54,22:09,22:24,22:39,22:54,23:09,23:24,23:39,23:54,0:09,0:24,0:29,0:46,0:49,1:16,1:19
Caulfield Station (Caulfield East),5:11,5:24,5:41,5:54,6:11,6:24,6:41,6:54,7:05,7:15,7:25,7:35,7:45,7:55,8:05,8:15,8:25,8:35,8:45,8:55,9:05,9:15,9:25,9:35,9:45,9:55,-,10:05,10:15,10:25,10:35,10:45,10:55,10:58,11:05,11:08,11:15,11:18,11:25,11:28,11:35,11:38,11:45,11:48,11:55,11:58,12:05,12:08,12:15,12:18,12:25,12:28,12:35,12:38,12:45,12:48,12:55,12:58,13:05,13:08,13:15,13:18,13:25,13:28,13:35,13:38,13:45,13:48,13:55,13:58,14:05,14:08,14:15,14:18,14:25,14:28,14:35,14:38,14:45,14:48,14:55,14:58,15:05,15:08,15:15,15:18,15:25,15:28,15:35,15:38,15:45,15:48,15:55,15:58,16:05,16:08,16:15,16:18,16:25,16:28,16:35,16:38,16:45,16:48,16:55,16:58,17:05,17:08,17:15,17:18,17:25,17:28,17:35,17:38,17:45,17:48,17:55,17:58,18:05,18:08,18:15,18:18,18:25,18:28,18:35,18:38,18:45,18:48,18:55,18:58,19:05,19:08,19:15,19:25,19:28,19:42,19:56,20:11,20:26,20:41,20:56,21:11,21:26,21:41,21:56,22:11,22:26,22:41,22:56,23:11,23:26,23:41,23:56,0:11,0:26,0:31,0:48,0:51,1:18,1:21
Carnegie Station (Carnegie),5:13,-,5:43,-,6:13,-,6:43,-,7:07,-,7:27,-,7:47,-,8:07,-,8:27,-,8:47,-,9:07,-,9:27,-,9:47,-,-,10:07,-,10:27,-,10:47,-,11:00,-,11:10,-,11:20,-,11:30,-,11:40,-,11:50,-,12:00,-,12:10,-,12:20,-,12:30,-,12:40,-,12:50,-,13:00,-,13:10,-,13:20,-,13:30,-,13:40,-,13:50,-,14:00,-,14:10,-,14:20,-,14:30,-,14:40,-,14:50,-,15:00,-,15:10,-,15:20,-,15:30,-,15:40,-,15:50,-,16:00,-,16:10,-,16:20,-,16:30,-,16:40,-,16:50,-,17:00,-,17:10,-,17:20,-,17:30,-,17:40,-,17:50,-,18:00,-,18:10,-,18:20,-,18:30,-,18:40,-,18:50,-,19:00,-,19:10,-,-,19:30,-,19:58,-,20:28,-,20:58,-,21:28,-,21:58,-,22:28,-,22:58,-,23:28,-,23:58,-,0:28,-,0:50,-,1:20,-
Murrumbeena Station (Murrumbeena),5:15,-,5:45,-,6:15,-,6:45,-,7:09,-,7:29,-,7:49,-,8:09,-,8:29,-,8:49,-,9:09,-,9:29,-,9:49,-,-,10:09,-,10:29,-,10:49,-,11:02,-,11:12,-,11:22,-,11:32,-,11:42,-,11:52,-,12:02,-,12:12,-,12:22,-,12:32,-,12:42,-,12:52,-,13:02,-,13:12,-,13:22,-,13:32,-,13:42,-,13:52,-,14:02,-,14:12,-,14:22,-,14:32,-,14:42,-,14:52,-,15:02,-,15:12,-,15:22,-,15:32,-,15:42,-,15:52,-,16:02,-,16:12,-,16:22,-,16:32,-,16:42,-,16:52,-,17:02,-,17:12,-,17:22,-,17:32,-,17:42,-,17:52,-,18:02,-,18:12,-,18:22,-,18:32,-,18:42,-,18:52,-,19:02,-,19:12,-,-,19:32,-,20:00,-,20:30,-,21:00,-,21:30,-,22:00,-,22:30,-,23:00,-,23:30,-,0:00,-,0:30,-,0:52,-,1:22,-
Hughesdale Station (Hughesdale),5:17,-,5:47,-,6:17,-,6:47,-,7:11,-,7:31,-,7:51,-,8:11,-,8:31,-,8:51,-,9:11,-,9:31,-,9:51,-,-,10:11,-,10:31,-,10:51,-,11:04,-,11:14,-,11:24,-,11:34,-,11:44,-,11:54,-,12:04,-,12:14,-,12:24,-,12:34,-,12:44,-,12:54,-,13:04,-,13:14,-,13:24,-,13:34,-,13:44,-,13:54,-,14:04,-,14:14,-,14:24,-,14:34,-,14:44,-,14:54,-,15:04,-,15:14,-,15:24,-,15:34,-,15:44,-,15:54,-,16:04,-,16:14,-,16:24,-,16:34,-,16:44,-,16:54,-,17:04,-,17:14,-,17:24,-,17:34,-,17:44,-,17:54,-,18:04,-,18:14,-,18:24,-,18:34,-,18:44,-,18:54,-,19:04,-,19:14,-,-,19:34,-,20:02,-,20:32,-,21:02,-,21:32,-,22:02,-,22:32,-,23:02,-,23:32,-,0:02,-,0:32,-,0:54,-,1:24,-
Oakleigh Station (Oakleigh),5:19,-,5:49,-,6:19,-,6:49,-,7:13,-,7:33,-,7:53,-,8:13,-,8:33,-,8:53,-,9:13,-,9:33,-,9:53,-,-,10:13,-,10:33,-,10:53,-,11:06,-,11:16,-,11:26,-,11:36,-,11:46,-,11:56,-,12:06,-,12:16,-,12:26,-,12:36,-,12:46,-,12:56,-,13:06,-,13:16,-,13:26,-,13:36,-,13:46,-,13:56,-,14:06,-,14:16,-,14:26,-,14:36,-,14:46,-,14:56,-,15:06,-,15:16,-,15:26,-,15:36,-,15:46,-,15:56,-,16:06,-,16:16,-,16:26,-,16:36,-,16:46,-,16:56,-,17:06,-,17:16,-,17:26,-,17:36,-,17:46,-,17:56,-,18:06,-,18:16,-,18:26,-,18:36,-,18:46,-,18:56,-,19:06,-,19:16,-,-,19:36,-,20:04,-,20:34,-,21:04,-,21:34,-,22:04,-,22:34,-,23:04,-,23:34,-,0:04,-,0:34,-,0:56,-,1:26,-
Huntingdale Station (Oakleigh),5:21,-,5:51,-,6:21,-,6:51,-,7:15,-,7:35,-,7:55,-,8:15,-,8:35,-,8:55,-,9:15,-,9:35,-,9:55,-,-,10:15,-,10:35,-,10:55,-,11:08,-,11:18,-,11:28,-,11:38,-,11:48,-,11:58,-,12:08,-,12:18,-,12:28,-,12:38,-,12:48,-,12:58,-,13:08,-,13:18,-,13:28,-,13:38,-,13:48,-,13:58,-,14:08,-,14:18,-,14:28,-,14:38,-,14:48,-,14:58,-,15:08,-,15:18,-,15:28,-,15:38,-,15:48,-,15:58,-,16:08,-,16:18,-,16:28,-,16:38,-,16:48,-,16:58,-,17:08,-,17:18,-,17:28,-,17:38,-,17:48,-,17:58,-,18:08,-,18:18,-,18:28,-,18:38,-,18:48,-,18:58,-,19:08,-,19:18,-,-,19:38,-,20:06,-,20:36,-,21:06,-,21:36,-,22:06,-,22:36,-,23:06,-,23:36,-,0:06,-,0:36,-,0:58,-,1:28,-
Clayton Station (Clayton),5:24,-,5:54,-,6:24,-,6:54,-,7:18,-,7:38,-,7:58,-,8:18,-,8:38,-,8:58,-,9:18,-,9:38,-,9:58,-,-,10:18,-,10:38,-,10:58,-,11:11,-,11:21,-,11:31,-,11:41,-,11:51,-,12:01,-,12:11,-,12:21,-,12:31,-,12:41,-,12:51,-,13:01,-,13:11,-,13:21,-,13:31,-,13:41,-,13:51,-,14:01,-,14:11,-,14:21,-,14:31,-,14:41,-,14:51,-,15:01,-,15:11,-,15:21,-,15:31,-,15:41,-,15:51,-,16:01,-,16:11,-,16:21,-,16:31,-,16:41,-,16:51,-,17:01,-,17:11,-,17:21,-,17:31,-,17:41,-,17:51,-,18:01,-,18:11,-,18:21,-,18:31,-,18:41,-,18:51,-,19:01,-,19:11,-,19:21,-,-,19:41,-,20:09,-,20:39,-,21:09,-,21:39,-,22:09,-,22:39,-,23:09,-,23:39,-,0:09,-,0:39,-,1:01,-,1:31,-
Westall Station (Clayton South),5:27,-,5:57,-,6:27,-,6:57,-,7:21,-,7:41,-,8:01,-,8:21,-,8:41,-,9:01,-,9:21,-,9:41,-,10:01,-,-,10:21,-,10:41,-,11:01,-,11:14,-,11:24,-,11:34,-,11:44,-,11:54,-,12:04,-,12:14,-,12:24,-,12:34,-,12:44,-,12:54,-,13:04,-,13:14,-,13:24,-,13:34,-,13:44,-,13:54,-,14:04,-,14:14,-,14:24,-,14:34,-,14:44,-,14:54,-,15:04,-,15:14,-,15:24,-,15:34,-,15:44,-,15:54,-,16:04,-,16:14,-,16:24,-,16:34,-,16:44,-,16:54,-,17:04,-,17:14,-,17:24,-,17:34,-,17:44,-,17:54,-,18:04,-,18:14,-,18:24,-,18:34,-,18:44,-,18:54,-,19:04,-,19:14,-,19:24,-,-,19:44,-,20:12,-,20:42,-,21:12,-,21:42,-,22:12,-,22:42,-,23:12,-,23:42,-,0:12,-,0:42,-,1:04,-,1:34,-
Springvale Station (Springvale),5:29,-,5:59,-,6:29,-,6:59,-,7:23,-,7:43,-,8:03,-,8:23,-,8:43,-,9:03,-,9:23,-,9:43,-,10:03,-,-,10:23,-,10:43,-,11:03,-,11:16,-,11:26,-,11:36,-,11:46,-,11:56,-,12:06,-,12:16,-,12:26,-,12:36,-,12:46,-,12:56,-,13:06,-,13:16,-,13:26,-,13:36,-,13:46,-,13:56,-,14:06,-,14:16,-,14:26,-,14:36,-,14:46,-,14:56,-,15:06,-,15:16,-,15:26,-,15:36,-,15:46,-,15:56,-,16:06,-,16:16,-,16:26,-,16:36,-,16:46,-,16:56,-,17:06,-,17:16,-,17:26,-,17:36,-,17:46,-,17:56,-,18:06,-,18:16,-,18:26,-,18:36,-,18:46,-,18:56,-,19:06,-,19:16,-,19:26,-,-,19:46,-,20:14,-,20:44,-,21:14,-,21:44,-,22:14,-,22:44,-,23:14,-,23:44,-,0:14,-,0:44,-,1:06,-,1:36,-
