Essendon Station (Essendon),4:55,5:13,5:31,5:49,6:07,6:16,6:25,6:34,6:44,6:53,7:02,7:11,7:20,7:32,7:38,7:45,7:50,7:56,8:03,8:08,8:14,8:20,8:26,8:32,8:41,8:50,8:59,9:08,9:19,9:34,9:54,10:14,10:34,10:54,11:14,11:34,11:54,12:14,12:34,12:54,13:14,13:34,13:54,14:14,14:34,14:54,15:14,15:34,15:54,16:14,16:34,16:54,17:05,17:14,17:25,17:34,17:54,18:14,18:34,18:54,19:14,19:34,19:54,20:24,20:54,21:24,21:54,22:24,22:54,23:24,23:54
Moonee Ponds Station (Moonee Ponds),4:57,5:15,5:33,5:51,6:09,6:18,6:27,6:36,6:46,6:55,7:04,7:13,7:22,7:34,7:40,7:47,7:52,7:58,8:05,8:10,8:16,8:22,8:28,8:34,8:43,8:52,9:01,9:10,9:21,9:36,9:56,10:16,10:36,10:56,11:16,11:36,11:56,12:16,12:36,12:56,13:16,13:36,13:56,14:16,14:36,14:56,15:16,15:36,15:56,16:16,16:36,16:56,17:07,17:16,17:27,17:36,17:56,18:16,18:36,18:56,19:16,19:36,19:56,20:26,20:56,21:26,21:56,22:26,22:56,23:26,23:56
Ascot Vale Station (Ascot Vale),4:59,5:17,5:35,5:53,6:11,6:20,6:29,6:38,6:48,6:57,7:06,7:15,7:24,7:36,7:42,7:49,7:54,8:00,8:07,8:12,8:18,8:24,8:30,8:36,8:45,8:54,9:03,9:12,9:23,9:38,9:58,10:18,10:38,10:58,11:18,11:38,11:58,12:18,12:38,12:58,13:18,13:38,13:58,14:18,14:38,14:58,15:18,15:38,15:58,16:18,16:38,16:58,17:09,17:18,17:29,17:38,17:58,18:18,18:38,18:58,19:18,19:38,19:58,20:28,20:58,21:28,21:58,22:28,22:58,23:28,23:58
Newmarket Station (Flemington),5:01,5:19,5:37,5:55,6:13,6:22,6:31,6:40,6:50,6:59,7:08,7:17,7:26,7:38,7:44,7:51,7:56,8:02,8:09,8:14,8:20,8:26,8:32,8:38,8:47,8:56,9:05,9:14,9:25,9:40,10:00,10:20,10:40,11:00,11:20,11:40,12:00,12:20,12:40,13:00,13:20,13:40,14:00,14:20,14:40,15:00,15:20,15:40,16:00,16:20,16:40,17:00,17:11,17:20,17:31,17:40,18:00,18:20,18:40,19:00,19:20,19:40,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00
Kensington Station (Kensington),5:02,5:20,5:38,5:56,6:14,6:23,6:32,6:41,6:51,7:00,7:09,7:18,7:27,7:39,7:45,7:52,7:57,8:03,8:10,8:15,8:21,8:27,8:33,8:39,8:48,8:57,9:06,9:15,9:26,9:41,10:01,10:21,10:41,11:01,11:21,11:41,12:01,12:21,12:41,13:01,13:21,13:41,14:01,14:21,14:41,15:01,15:21,15:41,16:01,16:21,16:41,17:01,17:12,17:21,17:32,17:41,18:01,18:21,18:41,19:01,19:21,19:41,20:01,20:31,21:01,21:31,22:01,22:31,23:01,23:31,0:01
North Melbourne Station (West Melbourne),5:06,5:24,5:42,6:00,6:18,6:27,6:36,6:45,6:55,7:04,7:13,7:22,7:31,7:43,7:49,7:58,8:01,8:07,8:15,8:19,8:25,8:32,8:37,8:43,8:52,9:01,9:10,9:19,9:30,9:45,10:05,10:25,10:45,11:05,11:25,11:45,12:05,12:25,12:45,13:05,13:25,13:45,14:05,14:25,14:45,15:05,15:25,15:45,16:05,16:25,16:45,17:06,17:16,17:25,17:36,17:45,18:05,18:25,18:45,19:05,19:25,19:45,20:05,20:34,21:04,21:34,22:04,22:34,23:04,23:34,0:04
Flagstaff Station (Melbourne City),5:08,5:26,5:44,6:02,6:20,6:29,6:38,6:47,6:58,7:07,7:16,7:25,7:34,7:46,7:52, ,8:04,8:10, ,8:22,8:28, ,8:40,8:46,8:55,9:04,9:13,9:22,9:33,9:48,10:08,10:28,10:48,11:08,11:28,11:48,12:08,12:28,12:48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Melbourne Central Station (Melbourne City),5:10,5:28,5:46,6:04,6:22,6:31,6:40,6:49,7:00,7:09,7:18,7:27,7:36,7:48,7:54, ,8:06,8:12, ,8:24,8:30, ,8:42,8:48,8:57,9:06,9:15,9:24,9:35,9:50,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Parliament Station (Melbourne City),5:12,5:30,5:48,6:06,6:24,6:33,6:42,6:51,7:02,7:11,7:20,7:29,7:38,7:50,7:56, ,8:08,8:14, ,8:26,8:32, ,8:44,8:50,8:59,9:08,9:17,9:26,9:37,9:52,10:12,10:32,10:52,11:12,11:32,11:52,12:12,12:32,12:52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Southern Cross Station (Melbourne City), , , , , , , , , , , , , , , ,8:01, , ,8:18, , ,8:35, , , , , , , , , , , , , , , , , ,13:09,13:29,13:49,14:09,14:29,14:49,15:10,15:30,15:50,16:10,16:30,16:50,17:10,17:21,17:30,17:41,17:50,18:10,18:30,18:50,19:09,19:29,19:49,20:09,20:38,21:08,21:38,22:08,22:38,23:08,23:38,0:08
Flinders Street Station (Melbourne City),5:15,5:33,5:51,6:09,6:27,6:36,6:45,6:54,7:05,7:14,7:23,7:32,7:41,7:53,7:59,8:05,8:11,8:17,8:22,8:29,8:35,8:39,8:47,8:53,9:02,9:11,9:20,9:29,9:41,9:55,10:15,10:35,10:55,11:15,11:35,11:55,12:15,12:35,12:55,13:13,13:33,13:53,14:13,14:33,14:53,15:14,15:36,15:56,16:16,16:36,16:56,17:16,17:27,17:36,17:47,17:56,18:16,18:36,18:56,19:13,19:33,19:53,20:13,20:42,21:12,21:42,22:12,22:42,23:12,23:42,0:12
Flinders Street Station (Melbourne City),-,5:39,5:54,6:12,6:30,-,6:48,-,7:05,-,7:23,-,7:41,7:53,7:59,-,-,8:17,-,8:29,8:35,-,-,8:53,-,9:11,-,9:29,9:44,9:59,10:19,10:39,10:59,11:19,11:39,11:59,12:19,12:39,-,13:17,13:37,13:57,14:17,14:37,14:57,15:16,15:36,15:56,16:16,16:36,16:56,17:16,17:27,17:36,17:47,17:56,18:16,18:36,18:56,19:16,-,19:56,20:20,-,-,-,22:20,-,-,-,0:20
Parliament Station (Melbourne City),-, , , , ,-, ,-, ,-, ,-, , , ,-,-, ,-, , ,-,-, ,-, ,-, , , , , , , , , , , ,-,13:19,13:39,13:59,14:19,14:39,14:59,15:18,15:38,15:58,16:18,16:38,16:58,17:18,17:29,17:38,17:49,17:58,18:18,18:38,18:58,19:18,-,19:58,20:22,-,-,-,22:22,-,-,-,0:22
Melbourne Central Station (Melbourne City),-, , , , ,-, ,-, ,-, ,-, , , ,-,-, ,-, , ,-,-, ,-, ,-, , , , , , , , , , , ,-,13:21,13:41,14:01,14:21,14:41,15:01,15:20,15:40,16:00,16:20,16:40,17:00,17:20,17:31,17:40,17:51,18:00,18:20,18:40,19:00,19:20,-,20:00,20:24,-,-,-,22:24,-,-,-,0:24
Flagstaff Station (Melbourne City),-, , , , ,-, ,-, ,-, ,-, , , ,-,-, ,-, , ,-,-, ,-, ,-, , , , , , , , , , , ,-,13:22,13:42,14:02,14:22,14:42,15:02,15:21,15:41,16:01,16:21,16:41,17:01,17:21,17:32,17:41,17:52,18:01,18:21,18:41,19:01,19:21,-,20:01,20:25,-,-,-,22:25,-,-,-,0:25
Southern Cross Station (Melbourne City),-,5:41,5:56,6:14,6:32,-,6:50,-,7:08,-,7:26,-,7:44,7:56,8:02,-,-,8:20,-,8:32,8:38,-,-,8:56,-,9:14,-,9:32,9:46,10:01,10:21,10:41,11:01,11:21,11:41,12:01,12:21,12:41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
