Macaulay Station (North Melbourne),5:08,5:44,6:02,6:20,6:38,6:57,7:15,7:33,7:51,8:09,8:27,8:45,9:03,9:21,9:33,9:48,10:08,10:28,10:48,11:08,11:28,11:48,12:08,12:28,12:48,13:08,13:28,13:48,14:08,14:28,14:48,15:08,15:28,15:48,16:08,16:28,16:48,17:08,17:28,17:48,18:08,18:28,18:48,19:08,19:28,19:48,20:18,20:48,21:18,21:48,22:18,22:48,23:18,23:48
North Melbourne Station (West Melbourne),5:11,5:47,6:05,6:23,6:41,7:01,7:19,7:37,7:55,8:13,8:31,8:49,9:07,9:25,9:36,9:51,10:11,10:31,10:51,11:11,11:31,11:51,12:11,12:31,12:51,13:11,13:31,13:51,14:11,14:31,14:51,15:11,15:31,15:51,16:11,16:31,16:51,17:11,17:31,17:51,18:11,18:31,18:51,19:11,19:31,19:51,20:21,20:51,21:21,21:51,22:21,22:51,23:21,23:51
Flagstaff Station (Melbourne City),5:13,5:49,6:07,6:25,6:43,7:04,7:22,7:40,7:58,8:16,8:34,8:52,9:10,9:28,9:39,9:54,10:14,10:34,10:54,11:14,11:34,11:54,12:14,12:34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Melbourne Central Station (Melbourne City),5:15,5:51,6:09,6:27,6:45,7:06,7:24,7:42,8:00,8:18,8:36,8:54,9:12,9:30,9:41,9:56,10:16,10:36,10:56,11:16,11:36,11:56,12:16,12:36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Parliament Station (Melbourne City),5:17,5:53,6:11,6:29,6:47,7:08,7:26,7:44,8:02,8:20,8:38,8:56,9:14,9:32,9:43,9:58,10:18,10:38,10:58,11:18,11:38,11:58,12:18,12:38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Southern Cross Station (Melbourne City), , , , , , , , , , , , , , , , , , , , , , , , ,12:55,13:15,13:35,13:55,14:15,14:35,14:55,15:16,15:36,15:56,16:16,16:36,16:56,17:16,17:36,17:56,18:16,18:36,18:56,19:16,19:35,19:55,20:24,20:54,21:24,21:54,22:24,22:54,23:25,23:55
Flinders Street Station (Melbourne City),5:20,5:56,6:14,6:32,6:50,7:11,7:29,7:47,8:05,8:23,8:41,8:59,9:17,9:35,9:46,10:01,10:21,10:41,11:01,11:21,11:41,12:01,12:21,12:41,12:59,13:19,13:39,13:59,14:19,14:39,14:59,15:20,15:40,16:00,16:20,16:40,17:00,17:20,17:40,18:00,18:20,18:40,19:00,19:20,19:39,19:59,20:28,20:58,21:28,21:58,22:28,22:58,23:29,23:59
Flinders Street Station (Melbourne City),5:24,6:00,6:18,6:36,6:54,7:11,7:29,7:47,8:05,8:23,8:41,8:59,9:17,9:39,9:52,-,-,10:44,11:04,-,-,12:04,12:24,-,-,13:21,13:41,-,-,14:41,15:01,-,-,16:02,16:22,-,-,17:22,17:42,-,-,18:42,19:07,-,-,20:01,-,-,21:34,-,-,23:04,-,-
Parliament Station (Melbourne City), , , , , , , , , , , , , , , ,-,-, , ,-,-, , ,-,-,13:23,13:43,-,-,14:43,15:03,-,-,16:04,16:24,-,-,17:24,17:44,-,-,18:44,19:09,-,-,20:03,-,-,21:36,-,-,23:06,-,-
Melbourne Central Station (Melbourne City), , , , , , , , , , , , , , , ,-,-, , ,-,-, , ,-,-,13:25,13:45,-,-,14:45,15:05,-,-,16:06,16:26,-,-,17:26,17:46,-,-,18:46,19:11,-,-,20:05,-,-,21:38,-,-,23:08,-,-
Flagstaff Station (Melbourne City), , , , , , , , , , , , , , , ,-,-, , ,-,-, , ,-,-,13:26,13:46,-,-,14:46,15:06,-,-,16:07,16:27,-,-,17:27,17:47,-,-,18:47,19:12,-,-,20:06,-,-,21:39,-,-,23:09,-,-
Southern Cross Station (Melbourne City),5:26,6:02,6:20,6:38,6:56,7:14,7:32,7:50,8:08,8:26,8:44,9:02,9:20,9:41,9:54,-,-,10:46,11:06,-,-,12:06,12:26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
