Craigieburn Station (Craigieburn),-,5:08,5:38,6:06,6:26,6:46,7:06,7:26,7:46,8:06,8:26,8:46,9:06,9:26,9:46,10:06,10:26,10:46,11:06,11:26,11:46,12:06,12:26,12:46,13:06,13:26,13:46,14:06,14:26,14:46,15:06,15:26,15:46,16:06,16:26,16:46,17:06,17:26,17:46,18:06,18:26,18:46,19:06,19:26,19:56,20:26,20:56,21:26,21:56,22:26,22:56,23:26,23:56
Essendon Station (Essendon),-,5:32,6:02,6:30,6:50,7:10,7:30,7:50,8:10,8:30,8:50,9:10,9:30,9:50,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,14:30,14:50,15:10,15:30,15:50,16:10,16:30,16:50,17:10,17:30,17:50,18:10,18:30,18:50,19:10,19:30,19:50,20:20,20:50,21:20,21:50,22:20,22:50,23:20,23:50,0:20
Moonee Ponds Station (Moonee Ponds),-,5:34,6:04,6:32,6:52,7:12,7:32,7:52,8:12,8:32,8:52,9:12,9:32,9:52,10:12,10:32,10:52,11:12,11:32,11:52,12:12,12:32,12:52,13:12,13:32,13:52,14:12,14:32,14:52,15:12,15:32,15:52,16:12,16:32,16:52,17:12,17:32,17:52,18:12,18:32,18:52,19:12,19:32,19:52,20:22,20:52,21:22,21:52,22:22,22:52,23:22,23:52,0:22
Ascot Vale Station (Ascot Vale),-,5:36,6:06,6:34,6:54,7:14,7:34,7:54,8:14,8:34,8:54,9:14,9:34,9:54,10:14,10:34,10:54,11:14,11:34,11:54,12:14,12:34,12:54,13:14,13:34,13:54,14:14,14:34,14:54,15:14,15:34,15:54,16:14,16:34,16:54,17:14,17:34,17:54,18:14,18:34,18:54,19:14,19:34,19:54,20:24,20:54,21:24,21:54,22:24,22:54,23:24,23:54,0:24
Newmarket Station (Flemington),-,5:38,6:08,6:36,6:56,7:16,7:36,7:56,8:16,8:36,8:56,9:16,9:36,9:56,10:16,10:36,10:56,11:16,11:36,11:56,12:16,12:36,12:56,13:16,13:36,13:56,14:16,14:36,14:56,15:16,15:36,15:56,16:16,16:36,16:56,17:16,17:36,17:56,18:16,18:36,18:56,19:16,19:36,19:56,20:26,20:56,21:26,21:56,22:26,22:56,23:26,23:56,0:26
Kensington Station (Kensington),-,5:39,6:09,6:37,6:57,7:17,7:37,7:57,8:17,8:37,8:57,9:17,9:37,9:57,10:17,10:37,10:57,11:17,11:37,11:57,12:17,12:37,12:57,13:17,13:37,13:57,14:17,14:37,14:57,15:17,15:37,15:57,16:17,16:37,16:57,17:17,17:37,17:57,18:17,18:37,18:57,19:17,19:37,19:57,20:27,20:57,21:27,21:57,22:27,22:57,23:27,23:57,0:27
North Melbourne Station (West Melbourne),5:17,5:42,6:12,6:40,7:00,7:20,7:40,8:00,8:20,8:40,9:00,9:20,9:40,10:00,10:20,10:40,11:00,11:20,11:40,12:00,12:20,12:40,13:00,13:20,13:40,14:00,14:20,14:40,15:00,15:20,15:40,16:00,16:20,16:40,17:00,17:20,17:40,18:00,18:20,18:40,19:00,19:20,19:40,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00,0:30
Melbourne Central Station (Melbourne City),5:21,5:46,6:16,6:44,7:04,7:24,7:44,8:04,8:24,8:44,9:04,9:24,9:44,10:04,10:24,10:44,11:04,11:24,11:44,12:04,12:24,12:44,13:04,13:24,13:44,14:04,14:24,14:44,15:04,15:24,15:44,16:04,16:24,16:44,17:04,17:24,17:44,18:04,18:24,18:44,19:04,19:24,19:44,20:04,20:34,21:04,21:34,22:04,22:34,23:04,23:34,0:04, 
Parliament Station (Melbourne City),5:23,5:48,6:18,6:46,7:06,7:26,7:46,8:06,8:26,8:46,9:06,9:26,9:46,10:06,10:26,10:46,11:06,11:26,11:46,12:06,12:26,12:46,13:06,13:26,13:46,14:06,14:26,14:46,15:06,15:26,15:46,16:06,16:26,16:46,17:06,17:26,17:46,18:06,18:26,18:46,19:06,19:26,19:46,20:06,20:36,21:06,21:36,22:06,22:36,23:06,23:36,0:06, 
Southern Cross Station (Melbourne City), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0:34
Flinders Street Station (Melbourne City),5:26,5:51,6:21,6:49,7:09,7:29,7:49,8:09,8:29,8:49,9:09,9:29,9:49,10:09,10:29,10:49,11:09,11:29,11:49,12:09,12:29,12:49,13:09,13:29,13:49,14:09,14:29,14:49,15:09,15:29,15:49,16:09,16:29,16:49,17:09,17:29,17:49,18:09,18:29,18:49,19:09,19:29,19:49,20:09,20:39,21:09,21:39,22:09,22:39,23:09,23:39,0:09,0:40
Flinders Street Station (Melbourne City),5:29,5:59,6:23,6:52,7:12,7:32,7:52,-,8:32,-,9:12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Southern Cross Station (Melbourne City),5:31,6:01,6:25,6:54,7:14,7:34,7:54,-,8:34,-,9:14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
