Clifton Hill Station (Clifton Hill),5:33,5:45,6:03,6:25,6:33,6:56,7:01,7:18,7:28,7:38,7:48,7:58,8:08,8:18,8:28,8:38,8:48,8:58,9:08,9:18,9:28,9:38,9:48,9:58,10:08,10:18,10:28,10:38,10:48,10:58,11:08,11:18,11:28,11:38,11:48,11:58,12:08,12:18,12:28,12:38,12:48,12:58,13:08,13:18,13:28,13:38,13:48,13:58,14:08,14:18,14:28,14:38,14:48,14:58,15:08,15:18,15:28,15:38,15:48,15:58,16:08,16:18,16:28,16:38,16:48,16:58,17:08,17:18,17:28,17:38,17:48,17:58,18:08,18:18,18:28,18:38,18:48,19:02,19:08,19:17,19:28,19:32,19:48,20:02,20:18,20:32,20:48,21:02,21:18,21:32,21:48,22:02,22:18,22:32,22:48,23:02,23:18,23:32,23:48,0:02,0:18,0:32,0:48,1:02,1:18,1:32
Rushall Station (Fitzroy North),5:35,-,6:05,-,6:35,-,7:03,-,7:30,-,7:50,-,8:10,-,8:30,-,8:50,-,9:10,-,9:30,-,9:50,-,10:10,-,10:30,-,10:50,-,11:10,-,11:30,-,11:50,-,12:10,-,12:30,-,12:50,-,13:10,-,13:30,-,13:50,-,14:10,-,14:30,-,14:50,-,15:10,-,15:30,-,15:50,-,16:10,-,16:30,-,16:50,-,17:10,-,17:30,-,17:50,-,18:10,-,18:30,-,18:50,-,19:10,-,19:30,-,19:50,-,20:20,-,20:50,-,21:20,-,21:50,-,22:20,-,22:50,-,23:20,-,23:50,-,0:20,-,0:50,-,1:20,-
Merri Station (Northcote),5:36,-,6:06,-,6:36,-,7:04,-,7:31,-,7:51,-,8:11,-,8:31,-,8:51,-,9:11,-,9:31,-,9:51,-,10:11,-,10:31,-,10:51,-,11:11,-,11:31,-,11:51,-,12:11,-,12:31,-,12:51,-,13:11,-,13:31,-,13:51,-,14:11,-,14:31,-,14:51,-,15:11,-,15:31,-,15:51,-,16:11,-,16:31,-,16:51,-,17:11,-,17:31,-,17:51,-,18:11,-,18:31,-,18:51,-,19:11,-,19:31,-,19:51,-,20:21,-,20:51,-,21:21,-,21:51,-,22:21,-,22:51,-,23:21,-,23:51,-,0:21,-,0:51,-,1:21,-
Northcote Station (Northcote),5:38,-,6:08,-,6:38,-,7:06,-,7:33,-,7:53,-,8:13,-,8:33,-,8:53,-,9:13,-,9:33,-,9:53,-,10:13,-,10:33,-,10:53,-,11:13,-,11:33,-,11:53,-,12:13,-,12:33,-,12:53,-,13:13,-,13:33,-,13:53,-,14:13,-,14:33,-,14:53,-,15:13,-,15:33,-,15:53,-,16:13,-,16:33,-,16:53,-,17:13,-,17:33,-,17:53,-,18:13,-,18:33,-,18:53,-,19:13,-,19:33,-,19:53,-,20:23,-,20:53,-,21:23,-,21:53,-,22:23,-,22:53,-,23:23,-,23:53,-,0:23,-,0:53,-,1:23,-
Croxton Station (Northcote),5:40,-,6:10,-,6:40,-,7:08,-,7:35,-,7:55,-,8:15,-,8:35,-,8:55,-,9:15,-,9:35,-,9:55,-,10:15,-,10:35,-,10:55,-,11:15,-,11:35,-,11:55,-,12:15,-,12:35,-,12:55,-,13:15,-,13:35,-,13:55,-,14:15,-,14:35,-,14:55,-,15:15,-,15:35,-,15:55,-,16:15,-,16:35,-,16:55,-,17:15,-,17:35,-,17:55,-,18:15,-,18:35,-,18:55,-,19:15,-,19:35,-,19:55,-,20:25,-,20:55,-,21:25,-,21:55,-,22:25,-,22:55,-,23:25,-,23:55,-,0:25,-,0:55,-,1:25,-
Thornbury Station (Thornbury),5:42,-,6:12,-,6:42,-,7:10,-,7:37,-,7:57,-,8:17,-,8:37,-,8:57,-,9:17,-,9:37,-,9:57,-,10:17,-,10:37,-,10:57,-,11:17,-,11:37,-,11:57,-,12:17,-,12:37,-,12:57,-,13:17,-,13:37,-,13:57,-,14:17,-,14:37,-,14:57,-,15:17,-,15:37,-,15:57,-,16:17,-,16:37,-,16:57,-,17:17,-,17:37,-,17:57,-,18:17,-,18:37,-,18:57,-,19:17,-,19:37,-,19:57,-,20:26,-,20:56,-,21:26,-,21:56,-,22:26,-,22:56,-,23:26,-,23:56,-,0:26,-,0:56,-,1:26,-
Bell Station (Preston),5:43,-,6:13,-,6:43,-,7:11,-,7:38,-,7:58,-,8:18,-,8:38,-,8:58,-,9:18,-,9:38,-,9:58,-,10:18,-,10:38,-,10:58,-,11:18,-,11:38,-,11:58,-,12:18,-,12:38,-,12:58,-,13:18,-,13:38,-,13:58,-,14:18,-,14:38,-,14:58,-,15:18,-,15:38,-,15:58,-,16:18,-,16:38,-,16:58,-,17:18,-,17:38,-,17:58,-,18:18,-,18:38,-,18:58,-,19:18,-,19:38,-,19:58,-,20:27,-,20:57,-,21:27,-,21:57,-,22:27,-,22:57,-,23:27,-,23:57,-,0:27,-,0:57,-,1:27,-
Preston Station (Preston),5:45,-,6:15,-,6:45,-,7:13,-,7:40,-,8:00,-,8:20,-,8:40,-,9:00,-,9:20,-,9:40,-,10:00,-,10:20,-,10:40,-,11:00,-,11:20,-,11:40,-,12:00,-,12:20,-,12:40,-,13:00,-,13:20,-,13:40,-,14:00,-,14:20,-,14:40,-,15:00,-,15:20,-,15:40,-,16:00,-,16:20,-,16:40,-,17:00,-,17:20,-,17:40,-,18:00,-,18:20,-,18:40,-,19:00,-,19:20,-,19:40,-,20:00,-,20:29,-,20:59,-,21:29,-,21:59,-,22:29,-,22:59,-,23:29,-,23:59,-,0:29,-,0:59,-,1:29,-
Regent Station (Reservoir),5:47,-,6:17,-,6:47,-,7:15,-,7:42,-,8:02,-,8:22,-,8:42,-,9:02,-,9:22,-,9:42,-,10:02,-,10:22,-,10:42,-,11:02,-,11:22,-,11:42,-,12:02,-,12:22,-,12:42,-,13:02,-,13:22,-,13:42,-,14:02,-,14:22,-,14:42,-,15:02,-,15:22,-,15:42,-,16:02,-,16:22,-,16:42,-,17:02,-,17:22,-,17:42,-,18:02,-,18:22,-,18:42,-,19:02,-,19:22,-,19:42,-,20:02,-,20:31,-,21:01,-,21:31,-,22:01,-,22:31,-,23:01,-,23:31,-,0:01,-,0:31,-,1:01,-,1:31,-
Reservoir Station (Reservoir),5:49,-,6:19,-,6:49,-,7:17,-,7:44,-,8:04,-,8:24,-,8:44,-,9:04,-,9:24,-,9:44,-,10:04,-,10:24,-,10:44,-,11:04,-,11:24,-,11:44,-,12:04,-,12:24,-,12:44,-,13:04,-,13:24,-,13:44,-,14:04,-,14:24,-,14:44,-,15:04,-,15:24,-,15:44,-,16:04,-,16:24,-,16:44,-,17:04,-,17:24,-,17:44,-,18:04,-,18:24,-,18:44,-,19:04,-,19:24,-,19:44,-,20:04,-,20:33,-,21:03,-,21:33,-,22:03,-,22:33,-,23:03,-,23:33,-,0:03,-,0:33,-,1:03,-,1:33,-
Ruthven Station (Reservoir),5:51,-,6:21,-,6:51,-,7:19,-,7:46,-,8:06,-,8:26,-,8:46,-,9:06,-,9:26,-,9:46,-,10:06,-,10:26,-,10:46,-,11:06,-,11:26,-,11:46,-,12:06,-,12:26,-,12:46,-,13:06,-,13:26,-,13:46,-,14:06,-,14:26,-,14:46,-,15:06,-,15:26,-,15:46,-,16:06,-,16:26,-,16:46,-,17:06,-,17:26,-,17:46,-,18:06,-,18:26,-,18:46,-,19:06,-,19:26,-,19:46,-,20:06,-,20:35,-,21:05,-,21:35,-,22:05,-,22:35,-,23:05,-,23:35,-,0:05,-,0:35,-,1:05,-,1:35,-
Keon Park Station (Thomastown),5:53,-,6:23,-,6:53,-,7:21,-,7:48,-,8:08,-,8:28,-,8:48,-,9:08,-,9:28,-,9:48,-,10:08,-,10:28,-,10:48,-,11:08,-,11:28,-,11:48,-,12:08,-,12:28,-,12:48,-,13:08,-,13:28,-,13:48,-,14:08,-,14:28,-,14:48,-,15:08,-,15:28,-,15:48,-,16:08,-,16:28,-,16:48,-,17:08,-,17:28,-,17:48,-,18:08,-,18:28,-,18:48,-,19:08,-,19:28,-,19:48,-,20:08,-,20:37,-,21:07,-,21:37,-,22:07,-,22:37,-,23:07,-,23:37,-,0:07,-,0:37,-,1:07,-,1:37,-
Thomastown Station (Thomastown),5:56,-,6:26,-,6:56,-,7:24,-,7:51,-,8:11,-,8:31,-,8:51,-,9:11,-,9:31,-,9:51,-,10:11,-,10:31,-,10:51,-,11:11,-,11:31,-,11:51,-,12:11,-,12:31,-,12:51,-,13:11,-,13:31,-,13:51,-,14:11,-,14:31,-,14:51,-,15:11,-,15:31,-,15:51,-,16:11,-,16:31,-,16:51,-,17:11,-,17:31,-,17:51,-,18:11,-,18:31,-,18:51,-,19:11,-,19:31,-,19:51,-,20:11,-,20:40,-,21:10,-,21:40,-,22:10,-,22:40,-,23:10,-,23:40,-,0:10,-,0:40,-,1:10,-,1:40,-
Lalor Station (Lalor),5:58,-,6:28,-,6:58,-,7:26,-,7:53,-,8:13,-,8:33,-,8:53,-,9:13,-,9:33,-,9:53,-,10:13,-,10:33,-,10:53,-,11:13,-,11:33,-,11:53,-,12:13,-,12:33,-,12:53,-,13:13,-,13:33,-,13:53,-,14:13,-,14:33,-,14:53,-,15:13,-,15:33,-,15:53,-,16:13,-,16:33,-,16:53,-,17:13,-,17:33,-,17:53,-,18:13,-,18:33,-,18:53,-,19:13,-,19:33,-,19:53,-,20:13,-,20:42,-,21:12,-,21:42,-,22:12,-,22:42,-,23:12,-,23:42,-,0:12,-,0:42,-,1:12,-,1:42,-
Epping Station (Epping),6:01,-,6:31,-,7:01,-,7:29,-,7:56,-,8:16,-,8:36,-,8:56,-,9:16,-,9:36,-,9:56,-,10:16,-,10:36,-,10:56,-,11:16,-,11:36,-,11:56,-,12:16,-,12:36,-,12:56,-,13:16,-,13:36,-,13:56,-,14:16,-,14:36,-,14:56,-,15:16,-,15:36,-,15:56,-,16:16,-,16:36,-,16:56,-,17:16,-,17:36,-,17:56,-,18:16,-,18:36,-,18:56,-,19:16,-,19:36,-,19:56,-,20:16,-,20:45,-,21:15,-,21:45,-,22:15,-,22:45,-,23:15,-,23:45,-,0:15,-,0:45,-,1:15,-,1:45,-
South Morang Station (South Morang),6:05,-,6:35,-,7:05,-,7:33,-,8:00,-,8:20,-,8:40,-,9:00,-,9:20,-,9:40,-,10:00,-,10:20,-,10:40,-,11:00,-,11:20,-,11:40,-,12:00,-,12:20,-,12:40,-,13:00,-,13:20,-,13:40,-,14:00,-,14:20,-,14:40,-,15:00,-,15:20,-,15:40,-,16:00,-,16:20,-,16:40,-,17:00,-,17:20,-,17:40,-,18:00,-,18:20,-,18:40,-,19:00,-,19:20,-,19:40,-,20:00,-,20:20,-,20:49,-,21:19,-,21:49,-,22:19,-,22:49,-,23:19,-,23:49,-,0:19,-,0:49,-,1:19,-,1:49,-
