North Melbourne Station (West Melbourne),4:57,5:00,5:13,5:20,5:27,5:31,5:40,5:49,5:49,6:00,6:07,6:10,6:15,6:22,6:25,6:28,6:32,6:38,6:43,6:44,6:49,6:54,6:59,7:01,7:05,7:06,7:11,7:14,7:19,7:22,7:28,7:28,7:33,7:37,7:37,7:44,7:50,7:55,7:55,8:01,8:00,8:07,8:10,8:13,8:16,8:22,8:31,8:32,8:36,8:39,8:43,8:42,8:45,8:49,8:56,9:01,9:05,9:07,9:16,9:19,9:25,9:27,9:37,9:37,9:46,9:47,9:57,10:06,10:07,10:17,10:26,10:27,10:37,10:46,10:47,10:57,11:06,11:07,11:17,11:26,11:27,11:37,11:46,11:47,11:57,12:06,12:07,12:17,12:26,12:27,12:37,12:46,12:47,12:57,13:06,13:07,13:17,13:26,13:27,13:37,13:46,13:47,13:57,14:06,14:07,14:17,14:26,14:27,14:37,14:46,14:47,14:57,15:06,15:07,15:17,15:26,15:27,15:34,15:37,15:46,15:47,15:54,15:57,16:06,16:07,16:14,16:15,16:26,16:25,16:34,16:35,16:44,16:46,16:46,16:54,16:56,16:59,17:00,17:06,17:06,17:09,17:14,17:17,17:20,17:20,17:26,17:28,17:31,17:34,17:39,17:40,17:42,17:46,17:50,17:53,17:54,18:00,18:01,18:04,18:06,18:12,18:14,18:16,18:23,18:26,18:26,18:31,18:34,18:38,18:46,18:46,18:52,18:59,19:06,19:06,19:21,19:26,19:26,19:41,19:46,19:46,20:01,20:06,20:06,20:21,20:26,20:37,20:46,21:07,21:06,21:26,21:37,21:46,22:07,22:06,22:37,22:36,23:07,23:06,23:37,23:36,0:07,0:16,0:37,0:41,0:57,1:11,1:27
South Kensington Station (Kensington),5:00,5:03,|,5:23,5:30,|,5:43,|,5:52,6:03,|,6:13,6:18,6:25,|,6:31,6:35,6:41,|,6:47,6:52,6:57,7:02,|,|,7:09,7:14,7:17,|,7:25,|,7:31,7:36,|,7:40,7:47,7:53,|,7:58,|,8:03,8:10,8:13,|,8:19,8:25,|,8:35,8:39,8:42,|,8:45,8:48,|,8:59,|,9:09,|,9:19,|,|,9:30,|,9:40,|,9:50,10:00,|,10:10,10:20,|,10:30,10:40,|,10:50,11:00,|,11:10,11:20,|,11:30,11:40,|,11:50,12:00,|,12:10,12:20,|,12:30,12:40,|,12:50,13:00,|,13:10,13:20,|,13:30,13:40,|,13:50,14:00,|,14:10,14:20,|,14:30,14:40,|,14:50,15:00,|,15:10,15:20,|,15:30,|,15:40,|,15:50,|,16:00,|,16:10,|,16:18,|,16:28,|,16:38,16:47,|,|,|,16:59,|,|,|,17:09,|,|,17:20,|,|,|,17:31,|,|,17:42,|,|,|,17:53,|,|,|,18:04,|,|,18:15,|,|,18:26,|,|,18:34,|,18:41,|,18:49,|,19:02,|,|,19:24,|,|,19:44,|,|,20:04,|,|,20:24,|,|,20:49,|,21:09,21:29,|,21:49,|,22:09,|,22:39,|,23:09,|,23:39,|,0:19,|,0:44,|,1:14,|
Footscray Station (Footscray),5:03,5:06,5:17,5:26,5:33,5:35,5:46,5:53,5:55,6:06,6:11,6:16,6:21,6:28,6:29,6:34,6:38,6:44,6:47,6:50,6:55,7:00,7:05,7:05,7:09,7:12,7:17,7:20,7:23,7:28,7:32,7:34,7:39,7:41,7:43,7:49,7:56,7:59,8:01,8:05,8:06,8:13,8:16,8:17,8:22,8:28,8:35,8:38,8:42,8:45,8:47,8:48,8:51,8:53,9:02,9:05,9:12,9:11,9:22,9:23,9:29,9:33,9:41,9:43,9:50,9:53,10:03,10:10,10:13,10:23,10:30,10:33,10:43,10:50,10:53,11:03,11:10,11:13,11:23,11:30,11:33,11:43,11:50,11:53,12:03,12:10,12:13,12:23,12:30,12:33,12:43,12:50,12:53,13:03,13:10,13:13,13:23,13:30,13:33,13:43,13:50,13:53,14:03,14:10,14:13,14:23,14:30,14:33,14:43,14:50,14:53,15:03,15:10,15:13,15:23,15:31,15:33,15:39,15:43,15:51,15:53,15:59,16:03,16:11,16:13,16:19,16:21,16:31,16:31,16:39,16:41,16:49,16:51,16:52,16:59,17:01,17:04,17:05,17:11,17:11,17:14,17:19,17:22,17:25,17:25,17:31,17:33,17:36,17:39,17:44,17:45,17:47,17:51,17:55,17:58,17:59,18:05,18:06,18:09,18:11,18:17,18:19,18:21,18:28,18:31,18:31,18:36,18:39,18:44,18:51,18:52,18:56,19:05,19:11,19:11,19:27,19:31,19:31,19:47,19:51,19:51,20:07,20:11,20:11,20:27,20:31,20:41,20:52,21:11,21:12,21:32,21:41,21:52,22:11,22:12,22:41,22:42,23:11,23:12,23:41,23:42,0:11,0:22,0:41,0:47,1:01,1:17,1:31
Middle Footscray Station (Footscray),-,-,5:19,-,-,5:37,-,5:55,-,-,6:13,-,-,-,6:31,-,-,-,6:49,-,-,-,-,7:07,7:11,-,-,-,7:25,-,7:34,-,-,7:43,-,-,-,8:01,-,8:07,-,-,-,8:19,-,-,8:37,-,-,-,8:49,-,-,8:55,-,9:07,-,9:13,-,9:25,9:31,-,9:43,-,9:52,-,-,10:12,-,-,10:32,-,-,10:52,-,-,11:12,-,-,11:32,-,-,11:52,-,-,12:12,-,-,12:32,-,-,12:52,-,-,13:12,-,-,13:32,-,-,13:52,-,-,14:12,-,-,14:32,-,-,14:52,-,-,15:12,-,-,15:33,-,15:41,-,15:53,-,16:01,-,16:13,-,16:21,-,16:33,-,16:41,-,-,16:53,-,17:01,-,-,17:07,|,-,-,17:21,-,|,-,17:33,-,-,|,-,17:47,-,|,-,-,18:01,|,-,-,18:13,-,18:21,-,-,18:33,-,-,18:41,-,18:53,-,-,-,19:13,-,-,19:33,-,-,19:53,-,-,20:13,-,-,-,20:43,-,21:13,-,-,21:43,-,22:13,-,22:43,-,23:13,-,23:43,-,0:13,-,0:43,-,1:03,-,1:33
West Footscray Station (West Footscray),-,-,5:20,-,-,5:38,-,5:56,-,-,6:14,-,-,-,6:32,-,-,-,6:50,-,-,-,-,7:08,7:12,-,-,-,7:26,-,7:35,-,-,7:44,-,-,-,8:02,-,8:08,-,-,-,8:20,-,-,8:38,-,-,-,8:50,-,-,8:56,-,9:08,-,9:14,-,9:26,9:32,-,9:44,-,9:53,-,-,10:13,-,-,10:33,-,-,10:53,-,-,11:13,-,-,11:33,-,-,11:53,-,-,12:13,-,-,12:33,-,-,12:53,-,-,13:13,-,-,13:33,-,-,13:53,-,-,14:13,-,-,14:33,-,-,14:53,-,-,15:13,-,-,15:34,-,15:42,-,15:54,-,16:02,-,16:14,-,16:22,-,16:34,-,16:42,-,-,16:54,-,17:02,-,-,17:08,|,-,-,17:22,-,|,-,17:34,-,-,|,-,17:48,-,|,-,-,18:02,|,-,-,18:14,-,18:22,-,-,18:34,-,-,18:42,-,18:54,-,-,-,19:14,-,-,19:34,-,-,19:54,-,-,20:14,-,-,-,20:44,-,21:14,-,-,21:44,-,22:14,-,22:44,-,23:14,-,23:44,-,0:14,-,0:44,-,1:04,-,1:34
Tottenham Station (West Footscray),-,-,5:23,-,-,5:41,-,5:59,-,-,6:17,-,-,-,6:35,-,-,-,6:53,-,-,-,-,7:11,7:15,-,-,-,7:29,-,7:38,-,-,7:47,-,-,-,8:05,-,8:11,-,-,-,8:23,-,-,8:41,-,-,-,8:53,-,-,8:59,-,9:11,-,9:17,-,9:29,9:35,-,9:47,-,9:56,-,-,10:16,-,-,10:36,-,-,10:56,-,-,11:16,-,-,11:36,-,-,11:56,-,-,12:16,-,-,12:36,-,-,12:56,-,-,13:16,-,-,13:36,-,-,13:56,-,-,14:16,-,-,14:36,-,-,14:56,-,-,15:16,-,-,15:37,-,15:45,-,15:57,-,16:05,-,16:17,-,16:25,-,16:37,-,16:45,-,-,16:57,-,17:05,-,-,17:11,|,-,-,17:25,-,|,-,17:37,-,-,|,-,17:51,-,|,-,-,18:05,|,-,-,18:17,-,18:25,-,-,18:37,-,-,18:45,-,18:57,-,-,-,19:17,-,-,19:37,-,-,19:57,-,-,20:17,-,-,-,20:47,-,21:17,-,-,21:47,-,22:17,-,22:47,-,23:17,-,23:47,-,0:17,-,0:47,-,1:07,-,1:37
Sunshine Station (Sunshine),-,-,5:26,-,-,5:44,-,6:02,-,-,6:20,-,-,-,6:38,-,-,-,6:56,-,-,-,-,7:14,7:18,-,-,-,7:32,-,7:42,-,-,7:50,-,-,-,8:08,-,8:14,-,-,-,8:26,-,-,8:44,-,-,-,8:56,-,-,9:02,-,9:14,-,9:20,-,9:32,9:38,-,9:50,-,9:59,-,-,10:19,-,-,10:39,-,-,10:59,-,-,11:19,-,-,11:39,-,-,11:59,-,-,12:19,-,-,12:39,-,-,12:59,-,-,13:19,-,-,13:39,-,-,13:59,-,-,14:19,-,-,14:39,-,-,14:59,-,-,15:19,-,-,15:40,-,15:48,-,16:00,-,16:08,-,16:20,-,16:28,-,16:40,-,16:48,-,-,17:00,-,17:08,-,-,17:14,17:20,-,-,17:28,-,17:34,-,17:40,-,-,17:49,-,17:54,-,18:00,-,-,18:08,18:14,-,-,18:20,-,18:28,-,-,18:40,-,-,18:48,-,19:00,-,-,-,19:20,-,-,19:40,-,-,20:00,-,-,20:20,-,-,-,20:50,-,21:20,-,-,21:50,-,22:20,-,22:50,-,23:20,-,23:50,-,0:20,-,0:50,-,1:10,-,1:40
Albion Station (Sunshine North),-,-,5:29,-,-,5:47,-,6:05,-,-,6:23,-,-,-,6:41,-,-,-,6:59,-,-,-,-,7:17,7:21,-,-,-,7:35,-,7:45,-,-,7:53,-,-,-,8:11,-,8:17,-,-,-,8:29,-,-,8:47,-,-,-,8:59,-,-,9:05,-,9:17,-,9:23,-,9:35,9:41,-,9:53,-,10:02,-,-,10:22,-,-,10:42,-,-,11:02,-,-,11:22,-,-,11:42,-,-,12:02,-,-,12:22,-,-,12:42,-,-,13:02,-,-,13:22,-,-,13:42,-,-,14:02,-,-,14:22,-,-,14:42,-,-,15:02,-,-,15:22,-,-,15:43,-,15:51,-,16:03,-,16:11,-,16:23,-,16:31,-,16:43,-,16:51,-,-,17:03,-,17:11,-,-,17:17,17:23,-,-,17:31,-,17:37,-,17:43,-,-,17:52,-,17:57,-,18:03,-,-,18:11,18:17,-,-,18:23,-,18:31,-,-,18:43,-,-,18:51,-,19:03,-,-,-,19:23,-,-,19:43,-,-,20:03,-,-,20:23,-,-,-,20:53,-,21:23,-,-,21:53,-,22:23,-,22:53,-,23:23,-,23:53,-,0:23,-,0:53,-,1:13,-,1:43
Ginifer Station (St Albans),-,-,5:32,-,-,5:50,-,6:08,-,-,6:26,-,-,-,6:44,-,-,-,7:02,-,-,-,-,7:20,7:24,-,-,-,7:38,-,7:48,-,-,7:56,-,-,-,8:14,-,8:20,-,-,-,8:32,-,-,8:50,-,-,-,9:02,-,-,9:08,-,9:20,-,9:26,-,9:38,9:44,-,9:56,-,10:05,-,-,10:25,-,-,10:45,-,-,11:05,-,-,11:25,-,-,11:45,-,-,12:05,-,-,12:25,-,-,12:45,-,-,13:05,-,-,13:25,-,-,13:45,-,-,14:05,-,-,14:25,-,-,14:45,-,-,15:05,-,-,15:25,-,-,15:46,-,15:54,-,16:06,-,16:14,-,16:26,-,16:34,-,16:46,-,16:54,-,-,17:06,-,17:14,-,-,17:20,17:26,-,-,17:34,-,17:40,-,17:46,-,-,17:55,-,18:00,-,18:06,-,-,18:14,18:20,-,-,18:26,-,18:34,-,-,18:46,-,-,18:54,-,19:06,-,-,-,19:26,-,-,19:46,-,-,20:06,-,-,20:26,-,-,-,20:56,-,21:26,-,-,21:56,-,22:26,-,22:56,-,23:26,-,23:56,-,0:26,-,0:56,-,1:16,-,1:46
St Albans Station (St Albans),-,-,5:34,-,-,5:52,-,6:10,-,-,6:28,-,-,-,6:46,-,-,-,7:04,-,-,-,-,7:22,7:26,-,-,-,7:40,-,7:50,-,-,7:58,-,-,-,8:16,-,8:22,-,-,-,8:34,-,-,8:52,-,-,-,9:04,-,-,9:10,-,9:22,-,9:28,-,9:40,9:46,-,9:58,-,10:07,-,-,10:27,-,-,10:47,-,-,11:07,-,-,11:27,-,-,11:47,-,-,12:07,-,-,12:27,-,-,12:47,-,-,13:07,-,-,13:27,-,-,13:47,-,-,14:07,-,-,14:27,-,-,14:47,-,-,15:07,-,-,15:27,-,-,15:48,-,15:56,-,16:08,-,16:16,-,16:28,-,16:36,-,16:48,-,16:56,-,-,17:08,-,17:16,-,-,17:22,17:28,-,-,17:36,-,17:42,-,17:48,-,-,17:57,-,18:02,-,18:08,-,-,18:16,18:22,-,-,18:28,-,18:36,-,-,18:48,-,-,18:56,-,19:08,-,-,-,19:28,-,-,19:48,-,-,20:08,-,-,20:28,-,-,-,20:58,-,21:28,-,-,21:58,-,22:28,-,22:58,-,23:28,-,23:58,-,0:28,-,0:58,-,1:18,-,1:48
Keilor Plains Station (St Albans),-,-,5:37,-,-,5:55,-,6:13,-,-,6:31,-,-,-,6:49,-,-,-,7:07,-,-,-,-,7:25,7:29,-,-,-,7:43,-,7:53,-,-,8:01,-,-,-,8:19,-,8:25,-,-,-,8:37,-,-,8:55,-,-,-,9:07,-,-,9:13,-,9:25,-,9:31,-,9:43,9:49,-,10:01,-,10:10,-,-,10:30,-,-,10:50,-,-,11:10,-,-,11:30,-,-,11:50,-,-,12:10,-,-,12:30,-,-,12:50,-,-,13:10,-,-,13:30,-,-,13:50,-,-,14:10,-,-,14:30,-,-,14:50,-,-,15:10,-,-,15:30,-,-,15:51,-,15:59,-,16:11,-,16:19,-,16:31,-,16:39,-,16:51,-,16:59,-,-,17:11,-,17:19,-,-,17:25,17:31,-,-,17:39,-,17:45,-,17:51,-,-,18:00,-,18:05,-,18:11,-,-,18:19,18:25,-,-,18:31,-,18:39,-,-,18:51,-,-,18:59,-,19:11,-,-,-,19:31,-,-,19:51,-,-,20:11,-,-,20:31,-,-,-,21:01,-,21:31,-,-,22:01,-,22:31,-,23:01,-,23:31,-,0:01,-,0:31,-,1:01,-,1:21,-,1:51
Watergardens Station (Sydenham),-,-,5:41,-,-,5:59,-,6:17,-,-,6:35,-,-,-,6:53,-,-,-,7:11,-,-,-,-,7:29,7:33,-,-,-,7:47,-,7:57,-,-,8:05,-,-,-,8:23,-,8:29,-,-,-,8:41,-,-,8:59,-,-,-,9:11,-,-,9:17,-,9:29,-,9:35,-,9:47,9:53,-,10:05,-,10:14,-,-,10:34,-,-,10:54,-,-,11:14,-,-,11:34,-,-,11:54,-,-,12:14,-,-,12:34,-,-,12:54,-,-,13:14,-,-,13:34,-,-,13:54,-,-,14:14,-,-,14:34,-,-,14:54,-,-,15:14,-,-,15:34,-,-,15:55,-,16:03,-,16:15,-,16:23,-,16:35,-,16:43,-,16:55,-,17:03,-,-,17:15,-,17:23,-,-,17:29,17:35,-,-,17:43,-,17:49,-,17:55,-,-,18:04,-,18:09,-,18:15,-,-,18:23,18:29,-,-,18:35,-,18:43,-,-,18:55,-,-,19:03,-,19:15,-,-,-,19:35,-,-,19:55,-,-,20:15,-,-,20:35,-,-,-,21:05,-,21:35,-,-,22:05,-,22:35,-,23:05,-,23:35,-,0:05,-,0:35,-,1:05,-,1:25,-,1:55
Diggers Rest Station (Diggers Rest),-,-,5:48,-,-,6:06,-,-,-,-,6:42,-,-,-,-,-,-,-,7:18,-,-,-,-,-,7:40,-,-,-,7:54,-,8:04,-,-,-,-,-,-,8:30,-,-,-,-,-,8:48,-,-,9:06,-,-,-,9:18,-,-,-,-,-,-,9:42,-,9:54,-,-,-,-,10:21,-,-,-,-,-,11:01,-,-,-,-,-,11:41,-,-,-,-,-,12:21,-,-,-,-,-,13:01,-,-,-,-,-,13:41,-,-,-,-,-,14:21,-,-,-,-,-,15:01,-,-,-,-,-,15:41,-,-,16:02,-,-,-,16:22,-,-,-,16:42,-,-,-,17:02,-,-,-,-,17:22,-,-,-,-,-,17:42,-,-,-,-,17:56,-,-,-,-,18:11,-,-,-,18:22,-,-,-,18:36,-,-,-,-,18:50,-,-,19:02,-,-,-,-,19:22,-,-,-,19:42,-,-,-,-,-,20:22,-,-,-,-,-,-,21:12,-,-,-,-,22:12,-,-,-,23:12,-,-,-,0:12,-,-,-,1:12,-,-,-,2:02
Sunbury Station (Sunbury),-,-,5:54,-,-,6:12,-,-,-,-,6:48,-,-,-,-,-,-,-,7:24,-,-,-,-,-,7:46,-,-,-,8:00,-,8:10,-,-,-,-,-,-,8:36,-,-,-,-,-,8:54,-,-,9:12,-,-,-,9:24,-,-,-,-,-,-,9:48,-,10:00,-,-,-,-,10:27,-,-,-,-,-,11:07,-,-,-,-,-,11:47,-,-,-,-,-,12:27,-,-,-,-,-,13:07,-,-,-,-,-,13:47,-,-,-,-,-,14:27,-,-,-,-,-,15:07,-,-,-,-,-,15:47,-,-,16:08,-,-,-,16:28,-,-,-,16:48,-,-,-,17:08,-,-,-,-,17:28,-,-,-,-,-,17:48,-,-,-,-,18:02,-,-,-,-,18:17,-,-,-,18:28,-,-,-,18:42,-,-,-,-,18:56,-,-,19:08,-,-,-,-,19:28,-,-,-,19:48,-,-,-,-,-,20:28,-,-,-,-,-,-,21:18,-,-,-,-,22:18,-,-,-,23:18,-,-,-,0:18,-,-,-,1:18,-,-,-,2:08
