Mentone Station (Mentone),7:09,-,7:39,-,8:09,-,8:39,-,9:09,-,9:29,-,9:49,-,9:59,-,10:09,-,10:19,-,10:29,-,10:39,-,10:49,-,10:59,-,11:09,-,11:19,-,11:29,-,11:39,-,11:49,-,11:59,-,12:09,-,12:19,-,12:29,-,12:39,-,12:49,-,12:59,-,13:09,-,13:19,-,13:29,-,13:39,-,13:49,-,13:59,-,14:09,-,14:19,-,14:29,-,14:39,-,14:49,-,14:59,-,15:09,-,15:19,-,15:29,-,15:39,-,15:49,-,15:59,-,16:09,-,16:19,-,16:29,-,16:39,-,16:49,-,16:59,-,17:09,-,17:19,-,17:29,-,17:39,-,17:49,-,17:59,-,18:09,-,18:19,18:32,-,18:52,-,19:12,-,19:34,-,-,20:05,-,20:35,-,21:05,-,21:35,-,22:05,-,22:35,-,23:05,-,23:26
Cheltenham Station (Cheltenham),7:12,-,7:42,-,8:12,-,8:42,-,9:12,-,9:32,-,9:52,-,10:02,-,10:12,-,10:22,-,10:32,-,10:42,-,10:52,-,11:02,-,11:12,-,11:22,-,11:32,-,11:42,-,11:52,-,12:02,-,12:12,-,12:22,-,12:32,-,12:42,-,12:52,-,13:02,-,13:12,-,13:22,-,13:32,-,13:42,-,13:52,-,14:02,-,14:12,-,14:22,-,14:32,-,14:42,-,14:52,-,15:02,-,15:12,-,15:22,-,15:32,-,15:42,-,15:52,-,16:02,-,16:12,-,16:22,-,16:32,-,16:42,-,16:52,-,17:02,-,17:12,-,17:22,-,17:32,-,17:42,-,17:52,-,18:02,-,18:12,-,18:22,18:35,-,18:55,-,19:15,-,19:37,-,-,20:08,-,20:38,-,21:08,-,21:38,-,22:08,-,22:38,-,23:08,-,23:29
Highett Station (Highett),7:14,-,7:44,-,8:14,-,8:44,-,9:14,-,9:34,-,9:54,-,10:04,-,10:14,-,10:24,-,10:34,-,10:44,-,10:54,-,11:04,-,11:14,-,11:24,-,11:34,-,11:44,-,11:54,-,12:04,-,12:14,-,12:24,-,12:34,-,12:44,-,12:54,-,13:04,-,13:14,-,13:24,-,13:34,-,13:44,-,13:54,-,14:04,-,14:14,-,14:24,-,14:34,-,14:44,-,14:54,-,15:04,-,15:14,-,15:24,-,15:34,-,15:44,-,15:54,-,16:04,-,16:14,-,16:24,-,16:34,-,16:44,-,16:54,-,17:04,-,17:14,-,17:24,-,17:34,-,17:44,-,17:54,-,18:04,-,18:14,-,18:24,18:37,-,18:57,-,19:17,-,19:39,-,-,20:10,-,20:40,-,21:10,-,21:40,-,22:10,-,22:40,-,23:10,-,23:31
Moorabbin Station (Moorabbin),7:17,-,7:47,-,8:17,-,8:47,-,9:17,-,9:37,-,9:57,-,10:07,-,10:17,-,10:27,-,10:37,-,10:47,-,10:57,-,11:07,-,11:17,-,11:27,-,11:37,-,11:47,-,11:57,-,12:07,-,12:17,-,12:27,-,12:37,-,12:47,-,12:57,-,13:07,-,13:17,-,13:27,-,13:37,-,13:47,-,13:57,-,14:07,-,14:17,-,14:27,-,14:37,-,14:47,-,14:57,-,15:07,-,15:17,-,15:27,-,15:37,-,15:47,-,15:57,-,16:07,-,16:17,-,16:27,-,16:37,-,16:47,-,16:57,-,17:07,-,17:17,-,17:27,-,17:37,-,17:47,-,17:57,-,18:07,-,18:17,-,18:27,18:40,-,19:00,-,19:20,-,19:42,-,-,20:13,-,20:43,-,21:13,-,21:43,-,22:13,-,22:43,-,23:13,-,23:34
Patterson Station (Bentleigh),7:19,-,7:49,-,8:19,-,8:49,-,9:19,-,9:39,-,9:59,-,10:09,-,10:19,-,10:29,-,10:39,-,10:49,-,10:59,-,11:09,-,11:19,-,11:29,-,11:39,-,11:49,-,11:59,-,12:09,-,12:19,-,12:29,-,12:39,-,12:49,-,12:59,-,13:09,-,13:19,-,13:29,-,13:39,-,13:49,-,13:59,-,14:09,-,14:19,-,14:29,-,14:39,-,14:49,-,14:59,-,15:09,-,15:19,-,15:29,-,15:39,-,15:49,-,15:59,-,16:09,-,16:19,-,16:29,-,16:39,-,16:49,-,16:59,-,17:09,-,17:19,-,17:29,-,17:39,-,17:49,-,17:59,-,18:09,-,18:19,-,18:29,18:42,-,19:02,-,19:22,-,19:44,-,-,20:15,-,20:45,-,21:15,-,21:45,-,22:15,-,22:45,-,23:15,-,23:36
Bentleigh Station (Bentleigh),7:21,-,7:51,-,8:21,-,8:51,-,9:21,-,9:41,-,10:01,-,10:11,-,10:21,-,10:31,-,10:41,-,10:51,-,11:01,-,11:11,-,11:21,-,11:31,-,11:41,-,11:51,-,12:01,-,12:11,-,12:21,-,12:31,-,12:41,-,12:51,-,13:01,-,13:11,-,13:21,-,13:31,-,13:41,-,13:51,-,14:01,-,14:11,-,14:21,-,14:31,-,14:41,-,14:51,-,15:01,-,15:11,-,15:21,-,15:31,-,15:41,-,15:51,-,16:01,-,16:11,-,16:21,-,16:31,-,16:41,-,16:51,-,17:01,-,17:11,-,17:21,-,17:31,-,17:41,-,17:51,-,18:01,-,18:11,-,18:21,-,18:31,18:44,-,19:04,-,19:24,-,19:46,-,-,20:17,-,20:47,-,21:17,-,21:47,-,22:17,-,22:47,-,23:17,-,23:38
McKinnon Station (Mckinnon),7:22,-,7:52,-,8:22,-,8:52,-,9:22,-,9:42,-,10:02,-,10:12,-,10:22,-,10:32,-,10:42,-,10:52,-,11:02,-,11:12,-,11:22,-,11:32,-,11:42,-,11:52,-,12:02,-,12:12,-,12:22,-,12:32,-,12:42,-,12:52,-,13:02,-,13:12,-,13:22,-,13:32,-,13:42,-,13:52,-,14:02,-,14:12,-,14:22,-,14:32,-,14:42,-,14:52,-,15:02,-,15:12,-,15:22,-,15:32,-,15:42,-,15:52,-,16:02,-,16:12,-,16:22,-,16:32,-,16:42,-,16:52,-,17:02,-,17:12,-,17:22,-,17:32,-,17:42,-,17:52,-,18:02,-,18:12,-,18:22,-,18:32,18:45,-,19:05,-,19:25,-,19:47,-,-,20:18,-,20:48,-,21:18,-,21:48,-,22:18,-,22:48,-,23:18,-,23:39
Ormond Station (Ormond),7:24,-,7:54,-,8:24,-,8:54,-,9:24,-,9:44,-,10:04,-,10:14,-,10:24,-,10:34,-,10:44,-,10:54,-,11:04,-,11:14,-,11:24,-,11:34,-,11:44,-,11:54,-,12:04,-,12:14,-,12:24,-,12:34,-,12:44,-,12:54,-,13:04,-,13:14,-,13:24,-,13:34,-,13:44,-,13:54,-,14:04,-,14:14,-,14:24,-,14:34,-,14:44,-,14:54,-,15:04,-,15:14,-,15:24,-,15:34,-,15:44,-,15:54,-,16:04,-,16:14,-,16:24,-,16:34,-,16:44,-,16:54,-,17:04,-,17:14,-,17:24,-,17:34,-,17:44,-,17:54,-,18:04,-,18:14,-,18:24,-,18:34,18:47,-,19:07,-,19:27,-,19:49,-,-,20:20,-,20:50,-,21:20,-,21:50,-,22:20,-,22:50,-,23:20,-,23:41
Glenhuntly Station (Glen Huntly),7:26,-,7:56,-,8:26,-,8:56,-,9:26,-,9:46,-,10:06,-,10:16,-,10:26,-,10:36,-,10:46,-,10:56,-,11:06,-,11:16,-,11:26,-,11:36,-,11:46,-,11:56,-,12:06,-,12:16,-,12:26,-,12:36,-,12:46,-,12:56,-,13:06,-,13:16,-,13:26,-,13:36,-,13:46,-,13:56,-,14:06,-,14:16,-,14:26,-,14:36,-,14:46,-,14:56,-,15:06,-,15:16,-,15:26,-,15:36,-,15:46,-,15:56,-,16:06,-,16:16,-,16:26,-,16:36,-,16:46,-,16:56,-,17:06,-,17:16,-,17:26,-,17:36,-,17:46,-,17:56,-,18:06,-,18:16,-,18:26,-,18:36,18:49,-,19:09,-,19:29,-,19:51,-,-,20:22,-,20:52,-,21:22,-,21:52,-,22:22,-,22:52,-,23:22,-,23:43
Caulfield Station (Caulfield East),7:30,7:40,8:00,8:10,8:30,8:40,9:00,9:10,9:30,9:40,9:50,10:00,10:10,10:20,10:20,10:30,10:30,10:40,10:40,10:50,10:50,11:00,11:00,11:10,11:10,11:20,11:20,11:30,11:30,11:40,11:40,11:50,11:50,12:00,12:00,12:10,12:10,12:20,12:20,12:30,12:30,12:40,12:40,12:50,12:50,13:00,13:00,13:10,13:10,13:20,13:20,13:30,13:30,13:40,13:40,13:50,13:50,14:00,14:00,14:10,14:10,14:20,14:20,14:30,14:30,14:40,14:40,14:50,14:50,15:00,15:00,15:10,15:10,15:20,15:20,15:30,15:30,15:40,15:40,15:50,15:50,16:00,16:00,16:10,16:10,16:20,16:20,16:30,16:30,16:40,16:40,16:50,16:50,17:00,17:00,17:10,17:10,17:20,17:20,17:30,17:30,17:40,17:40,17:50,17:50,18:00,18:00,18:10,18:10,18:20,18:20,18:30,18:30,18:40,18:40,18:53,19:00,19:13,19:20,19:33,19:40,19:55,20:00,20:20,20:25,20:40,20:55,21:09,21:25,21:39,21:55,22:09,22:25,22:39,22:55,23:09,23:25,23:39,23:46
