Kooyong Station 
Heatherdale Station 
South Yarra Station 
Sandringham Station 
Aircraft Station 
Morradoo Station 
Reservoir Station 
Hoppers Crossing Station 
Merinda Park Station 
Alphington Station 
Altona Station 
Yarraman Station 
Fawkner Station 
Springvale Station 
Hughesdale Station 
Westgarth Station 
Toorak Station 
Heidelberg Station 
Burnley Station 
Westall Station 
Carrum Station 
Rushall Station 
Albion Station 
Watsonia Station 
Eaglemont Station 
Footscray Station 
St Albans Station 
Clayton Station 
Frankston Station 
Mount Waverley Station 
Pakenham Station 
Bittern Station 
Pascoe Vale Station 
West Footscray Station 
Laburnum Station 
Carnegie Station 
Bell Station 
Anstey Station 
Royal Park Station 
McKinnon Station 
Glenferrie Station 
Gardenvale Station 
Brighton Beach Station 
Ascot Vale Station 
Melbourne Central Station 
Dandenong Station 
Strathmore Station 
Victoria Park Station 
Stony Point Station 
Middle Brighton Station 
Epping Station 
Aspendale Station 
East Richmond Station 
Seddon Station 
East Malvern Station 
Newmarket Station 
Caulfield Station 
Parkdale Station 
Collingwood Station 
Prahran Station 
Sandown Park Station 
Heyington Station 
Eltham Station 
Thomastown Station 
Hartwell Station 
Mordialloc Station 
Gowrie Station 
Jacana Station 
Glenhuntly Station 
Greensborough Station 
Watergardens Station 
Cranbourne Station 
Balaclava Station 
Officer Station 
North Brighton Station 
Hurstbridge Station 
Rosanna Station 
Boronia Station 
Hampton Station 
Jordanville Station 
Somerville Station 
Croydon Station 
Darebin Station 
Tecoma Station 
Lalor Station 
Flemington Bridge Station 
Bentleigh Station 
Mitcham Station 
Brunswick Station 
Glen Iris Station 
Diamond Creek Station 
Glenbervie Station 
Moorabbin Station 
Canterbury Station 
Noble Park Station 
Patterson Station 
Ruthven Station 
Ashburton Station 
Oak Park Station 
North Melbourne Station 
Upfield Station 
Dennis Station 
Thornbury Station 
Sunshine Station 
South Kensington Station 
Baxter Station 
Montmorency Station 
Middle Footscray Station 
Jewell Station 
Flinders Street Station 
Newport Station 
Coburg Station 
Keon Park Station 
Williamstown Station 
Ivanhoe Station 
Crib Point Station 
Hawksburn Station 
Heathmont Station 
Lynbrook Station 
Northcote Station 
Westona Station 
Elsternwick Station 
Hawthorn Station 
Ripponlea Station 
Batman Station 
Riversdale Station 
Mentone Station 
Nunawading Station 
Leawarra Station 
Chelsea Station 
Hastings Station 
Chatham Station 
North Richmond Station 
Darling Station 
Cardinia Road Station 
Windsor Station 
Belgrave Station 
Lilydale Station 
Seaford Station 
Seaholme Station 
Upwey Station 
Keilor Plains Station 
Beaconsfield Station 
Blackburn Station 
Edithvale Station 
Mooroolbark Station 
Upper Ferntree Gully Station 
Yarraville Station 
Glen Waverley Station 
Wattle Glen Station 
Jolimont-MCG Station 
Oakleigh Station 
Tyabb Station 
Bayswater Station 
Werribee Station 
Burwood Station 
Williamstown Beach Station 
Bonbeach Station 
Auburn Station 
Ringwood East Station 
Highett Station 
Craigieburn Station 
Hallam Station 
Clifton Hill Station 
Tooronga Station 
Laverton Station 
Ginifer Station 
Ormond Station 
Alamein Station 
Huntingdale Station 
Murrumbeena Station 
Essendon Station 
Malvern Station 
Richmond Station 
Narre Warren Station 
Syndal Station 
Willison Station 
Merlynston Station 
Preston Station 
Mont Albert Station 
Flagstaff Station 
West Richmond Station 
Coolaroo Station 
Merri Station 
Holmesglen Station 
Broadmeadows Station 
Camberwell Station 
North Williamstown Station 
Croxton Station 
Regent Station 
Moreland Station 
Ringwood Station 
Berwick Station 
Parliament Station 
Kensington Station 
Tottenham Station 
Gardiner Station 
East Camberwell Station 
Ferntree Gully Station 
Spotswood Station 
Box Hill Station 
Moonee Ponds Station 
Roxburgh Park Station 
Cheltenham Station 
Armadale Station 
Southern Cross Station 
Macaulay Station 
Surrey Hills Station 
South Morang Station 
Fairfield Station 
Glenroy Station 
Kananook Station 
Macleod Station 
